nume,oras,lat,long
Centru de Imagistică Regina Maria,Craiova,44.3230022,23.796208
Spitalul Clinic Județean de Urgență „Sf. Apostol Andrei” Constanța,Constanța,44.185938,28.6421444
Spitalul Orășenesc,Corabia,43.7732124,24.5107645
Sanepid,Corabia,43.7723379,24.4943042
Spitalul Ecomed - Vintilă Vodă,Vintilă Vodă,45.4581153,26.7436511
Spitalul de Psihiatrie Sânpetru,Sânpetru,45.7286814,25.6261694
Centrul Medial de Permanență Plătărești,Podu Pitarului,44.3423745,26.3766903
Spitalul Municipal Filantropia,Craiova,44.313386,23.825172
Spitalul Regina Maria,Cluj-Napoca,46.7731692,23.6024559
Spital Municipal,Târgu Secuiesc,45.9976797,26.1402674
Spitalul de Boli Cronice și Geriatrie Sfântul Luca,București,44.3837954,26.1291522
"Spitalul de Boli Infecțioase ""Movila""",Ploiești,44.9497195,25.9995866
Serviciul de Ambulanță Județean Prahova,Ploiești,44.9417573,25.9925582
Spital modular COVID-19 (închis),București,44.4862244,26.1121396
Spital Orasenesc,Negrești-Oaș,47.8719793,23.4284468
"SJU M-Ciuc: Secțiile Dermatovenerologie, Psihiatrie, Oftalmologie",Miercurea Ciuc,46.3566466,25.8015296
Spitalul Clinic CF nr. 2,București,44.47391,26.0693723
Digenio - Centrul de Excelență în Afecțiuni Digestive,Cluj-Napoca,46.7896907,23.6062329
Spitalul General C.F. Ploiești,Ploiești,44.9265872,25.9971193
Spitalul Lotus,Ploiești,44.9392685,26.0166405
Sfânta Sofia Hospital Med Bălțești,Bălțești,45.1117101,26.1369411
Spitalul Buna Vestire,Ploiești,44.9389605,26.0312717
Centrul de Screening și Diagnostic în Boli Oncologice,Iași,47.1789568,27.5746052
Policlinica Praga,Ploiești,44.9426328,26.0308354
Spitalul Județean de Urgență Ploiești Secția Pneumologie,Ploiești,44.9459183,26.0400276
Spitalul de Pediatrie Ploieşti,Ploiești,44.9319565,26.0264982
Enayati Medical City,București,44.501239,26.0682538
Spitalul Orășenesc Băicoi,Băicoi,45.0293734,25.8373678
Spitalul Feroviar,Buzău,45.1436128,26.8370404
Secția Sanatorială Voila,Câmpina,45.1586753,25.7488495
Spitalul de Psihiatrie Voila,Câmpina,45.15902,25.7510404
Spitalul Orăşenesc Urlați,Urlați,44.9907202,26.2404628
Spitalul Clinic Prof. Dr. Theodor Burghele,București,44.4255827,26.0726747
Institutul ORL,București,44.4256269,26.0745497
Spitalul de Pediatrie Ploiești - Centru Sănătate Mintală Copii,Ploiești,44.9337562,26.0070772
Spitalul Ana Aslan,Otopeni,44.5775369,26.0656004
Centrul de Recuperare și Reabilitare Persoane cu Handicap Canaan,Șercaia,45.8311277,25.1491526
Spitalul Municipal „Anton Cincu”,Tecuci,45.8473331,27.4379722
Spitalul Clinic Municipal Cluj-Napoca,Cluj-Napoca,46.7892534,23.60681
Spitalul Clinic de Pneumoftiziologie Leon Daniello,Cluj-Napoca,46.763946,23.5827779
Institutul regional de gastroenterologie și hepatologie prof. dr. Octavian Fodor,Cluj-Napoca,46.7761707,23.5922991
Spitalul Clinic Municipal Filantropia,Craiova,44.3225695,23.7936556
Spitalul Clinic de Recuperare,Cluj-Napoca,46.754898,23.5823537
Stația SALVAMONT Gorj,Polovragi,45.1939772,23.7903518
Spitalul Orășenesc Rupea,Rupea,46.0374767,25.2207837
Spitalul Clinic de Urgență Sfântul Pantelimon,București,44.4412468,26.1729565
Spitalul de Obstetrică Ginecologie Buftea,Buftea,44.5764212,25.9383435
Centrul Medical Județean Constanța al Ministerului de Afaceri Interne,Constanța,44.2099409,28.6425856
Spitalul General C.F.Brasov,Brașov,45.649016,25.6063561
Policlinica Nr.2,Constanța,44.1720921,28.6381074
Centru De Excelență Clinică Fundația Baylor,Constanța,44.1495929,28.6237347
Spitalul Clinic de Boli Infecțioase Constanța,Constanța,44.1643008,28.6016949
Spitalul Universitar Elias - Secția de Recuperare Medicală Olănești,Băile Olănești,45.198098,24.2478217
Servicii Imagistică Armonia,Constanța,44.1726846,28.6335689
Clinica Medstar 2000,Constanța,44.1808573,28.6446268
Heka Hospital,Constanța,44.1737921,28.6359792
Spitalul Medicover,Suceagu,46.7945967,23.483564
"Spitalul Județean de Urgență ""Dr. Fogolyán Kristóf""",Sfântu Gheorghe,45.8643312,25.7809555
Sanatoriul de Balneofizioterapie și Recuperare Medicală ”Dr. Dimitrie Cantemir” Bălțătești,Bălțătești,47.1192214,26.3088729
Sanatoriul de nevroze,Predeal,45.4976411,25.5373934
Spital Psihiatrie Turceni,Jilțu,44.6886261,23.3800204
Spitalul Municipal Dr. Eugen Nicoară,Reghin,46.7830363,24.6957912
Spital Orășenesc Beclean,Beclean,47.1839369,24.1854619
Dora Optics,Târgu Mureș,46.5306413,24.5451425
"Spitalul de Psihiatrie ""Eftimie Diamandescu"" Bălăceanca",Bălăceanca,44.3914949,26.2914807
Spital Fizioterapie,Sebeș,45.9581581,23.5746813
Spitalul Municipal Sebeș Pediatrie,Sebeș,45.9528477,23.5677528
DISPENSAR UMAN,Repedea,47.8304485,24.4016834
Spitalul de recuperare Borșa,Borșa,47.6542222,24.6666204
Spitalul Militar de Urgenţă „Dr. Alexandru Popescu”,Focșani,45.696796,27.1905659
Ovidius Clinical Hospital,Ovidiu,44.2320807,28.5824568
Spitalul Militar de Urgență „Dr. Alexandru Gafencu” Constanța,Constanța,44.1900643,28.6521643
Spitalul Universitar de Urgență Elias,București,44.4659572,26.0740855
Spitalul Județean Teleorman,Alexandria,43.9795507,25.3139964
Spitalul Județean Călărași,Călărași,44.1920442,27.3276212
Spitalul Clinic Sfânta Maria,București,44.4564896,26.0790405
Spitalul de Pneumoftiziologie Sfântul Ștefan,București,44.4536805,26.1054838
Sectia recuperari,Târgoviște,44.92393,25.4498838
Spitalul Orășenesc Așezămintele Brâncovenești,Dăbuleni,43.8011926,24.0943386
